full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,GM,spec_B,spec_T,full_name_gaia,da_dt,e_da_dt,SNR,FAccept,normalized_name,number_only,clean_name
(2005 VL1),3297629,True,False,0.891,0.225,0.236,0.691,1.09,307.0,1.17,49.7,26.45,,,,,,,2005 VL1,-0.0102745,0.00110556,9.29348,1,2005 vl1,2005,2005 VL1
3361 Orpheus (1982 HR),20003361,True,True,1.21,0.323,2.65,0.819,1.6,486.0,0.74,321.0,19.54,0.3,0.357,3.5327,,,,3361,0.000860842,9.37451e-05,9.1828,1,3361,3361,3361
481442 (2006 WO3),20481442,True,False,0.8,0.447,21.2,0.442,1.16,261.0,1.38,346.0,21.58,,,,,,,481442,-0.00335774,0.000366546,9.16048,1,481442,481442,481442
216523 (2001 HY7),20216523,True,True,0.914,0.412,5.21,0.537,1.29,319.0,1.13,181.0,20.7,,,0.042,,,,216523,0.00205604,0.000226606,9.07319,1,216523,216523,216523
(2000 EM26),3092253,True,False,0.817,0.467,3.84,0.436,1.2,270.0,1.33,60.6,22.51,,,,,,,2000 EM26,-0.00991324,0.00109455,9.05691,1,2000 em26,2000,2000 EM26
297418 (2000 SP43),20297418,True,True,0.812,0.467,10.3,0.433,1.19,267.0,1.35,250.0,18.52,0.407,0.388,6.314,,,,297418,-0.00130648,0.000144271,9.05574,1,297418,297418,297418
(2008 DB),3403149,True,False,1.05,0.233,4.22,0.808,1.3,395.0,0.912,211.0,25.8,,,,,,,2008 DB,-0.0588542,0.00655387,8.98008,Rej.,2008 db,2008,2008 DB
455176 (1999 VF22),20455176,True,True,1.31,0.739,3.92,0.343,2.28,549.0,0.655,146.0,20.71,,,6.681,,,,455176,-0.00393878,0.000438707,8.97815,1,455176,455176,455176
162004 (1991 VE),20162004,True,False,0.891,0.665,7.22,0.299,1.48,307.0,1.17,263.0,18.29,,,13.4895,,,,162004,0.00204832,0.000229502,8.92505,Rej.,162004,162004,162004
99907 (1989 VA),20099907,True,False,0.728,0.595,28.8,0.295,1.16,227.0,1.59,156.0,17.94,1.4,,2.5246,,,,99907,0.00126128,0.000142049,8.87919,1,99907,99907,99907
310842 (2003 AK18),20310842,True,False,0.877,0.384,7.4,0.54,1.21,300.0,1.2,64.7,19.83,,,5.3257,,,,310842,-0.00200148,0.000226783,8.82553,1,310842,310842,310842
4179 Toutatis (1989 AC),20004179,True,True,2.54,0.625,0.448,0.954,4.13,1480.0,0.243,76.9,15.29,5.4,0.405,176.0,,,,4179,-0.000272046,3.09016e-05,8.80362,1,4179,4179,4179
(2021 UN7),54214728,True,False,0.999,0.393,20.3,0.606,1.39,365.0,0.987,97.0,23.36,,,,,,,2021 UN7,-0.0142823,0.00164033,8.70696,1,2021 un7,2021,2021 UN7
(2013 GZ7),3634186,True,False,1.41,0.192,5.28,1.14,1.67,609.0,0.591,213.0,24.0,,,,,,,2013 GZ7,-0.00244837,0.000282283,8.67344,Rej.,2013 gz7,2013,2013 GZ7
796478 (2009 WF),20796478,True,False,1.39,0.329,15.8,0.93,1.84,596.0,0.604,338.0,19.78,,,,,,,2009 WF,0.00992309,0.00115746,8.57314,Rej.,2009 wf,2009,2009 WF
330659 (2008 GG2),20330659,True,False,1.59,0.278,13.0,1.15,2.03,730.0,0.493,292.0,23.01,,,,,,,330659,0.00318565,0.000372038,8.5627,1,330659,330659,330659
175706 (1996 FG3),20175706,True,True,1.05,0.35,1.97,0.685,1.42,396.0,0.91,36.7,18.3,1.196,0.072,3.5942,,,,175706,-0.00056997,6.68344e-05,8.52809,1,175706,175706,175706
480820 (1998 VF32),20480820,True,True,0.851,0.444,23.7,0.473,1.23,287.0,1.26,46.6,20.97,,,,,,,480820,0.00158394,0.000185815,8.52426,1,480820,480820,480820
2062 Aten (1976 AA),20002062,True,False,0.967,0.183,18.9,0.79,1.14,347.0,1.04,32.6,17.11,1.1,0.26,42.15,,,,2062,-0.000628154,7.54395e-05,8.3266,1,2062,2062,2062
10302 (1989 ML),20010302,True,False,1.27,0.137,4.38,1.1,1.45,524.0,0.686,122.0,19.44,,,19.2406,,,,10302,0.00172402,0.000208107,8.28429,1,10302,10302,10302
595116 (2001 QE96),20595116,True,False,1.31,0.0281,7.27,1.27,1.35,548.0,0.657,320.0,22.77,,,,,,,595116,-0.00505709,0.000614229,8.23323,1,595116,595116,595116
796120 (2009 EM1),20796120,True,False,2.53,0.554,18.0,1.13,3.93,1470.0,0.245,61.2,23.0,,,,,,,2009 EM1,-0.0118362,0.00145603,8.12912,Rej.,2009 em1,2009,2009 EM1
385186 (1994 AW1),20385186,True,True,1.1,0.0756,24.1,1.02,1.19,424.0,0.849,295.0,17.64,0.811,0.223,2.5193,,,,385186,0.000486579,6.05113e-05,8.04111,1,385186,385186,385186
470975 (2009 SC15),20470975,True,False,1.26,0.179,6.84,1.04,1.49,520.0,0.693,341.0,21.43,,,10.354,,,,470975,-0.00449069,0.00056058,8.01081,1,470975,470975,470975
510529 (2012 EY11),20510529,True,True,1.15,0.151,9.02,0.975,1.32,450.0,0.801,145.0,21.58,,,,,,,510529,-0.00543073,0.000688419,7.8887,1,510529,510529,510529
(2014 WF497),3701710,True,False,1.11,0.222,28.4,0.864,1.36,427.0,0.843,232.0,20.34,,,,,,,2014 WF497,0.00728239,0.000928765,7.84094,Rej.,2014 wf497,2014,2014 WF497
(1997 YM9),3092168,True,False,1.1,0.104,7.84,0.982,1.21,419.0,0.859,82.7,24.36,,,,,,,1997 YM9,0.00413127,0.00053109,7.77885,1,1997 ym9,1997,1997 YM9
(1999 UQ),3092237,True,False,1.09,0.0156,24.8,1.08,1.11,418.0,0.861,92.4,21.87,,,,,,,1999 UQ,-0.00414999,0.000537129,7.72624,1,1999 uq,1999,1999 UQ
(1994 WR12),3005969,True,False,0.757,0.397,6.85,0.456,1.06,240.0,1.5,153.0,22.4,,,,,,,1994 WR12,-0.0108863,0.00141065,7.71719,1,1994 wr12,1994,1994 WR12
348306 (2005 AY28),20348306,True,True,0.873,0.57,5.88,0.375,1.37,298.0,1.21,92.3,21.55,,,,,,,348306,-0.00473218,0.000614311,7.70322,1,348306,348306,348306
412976 (1987 WC),20412976,True,False,1.36,0.234,15.8,1.04,1.68,581.0,0.62,5.03,19.9,,,,,,,412976,0.0026462,0.000344521,7.68081,1,412976,412976,412976
363505 (2003 UC20),20363505,True,True,0.781,0.337,3.78,0.518,1.04,252.0,1.43,118.0,18.47,1.876,0.029,29.6,,,,363505,-0.000424475,5.5308e-05,7.67475,1,363505,363505,363505
499998 (2011 PT),20499998,True,False,1.32,0.217,2.22,1.03,1.6,551.0,0.653,140.0,24.01,,,,,,,499998,-0.00873178,0.00114873,7.60122,1,499998,499998,499998
164207 Cardea (2004 GU9),20164207,True,True,1.0,0.136,13.7,0.865,1.14,366.0,0.984,97.3,21.19,0.163,0.219,,,,,164207,-0.00267124,0.00035223,7.5838,1,164207,164207,164207
6489 Golevka (1991 JX),20006489,True,True,2.48,0.619,2.26,0.944,4.01,1420.0,0.253,252.0,19.22,0.53,0.151,6.026,,,,6489,-0.00053018,7.00851e-05,7.5648,1,6489,6489,6489
(2000 AA6),3025766,True,True,1.29,0.519,2.03,0.618,1.95,533.0,0.676,219.0,22.44,0.316,0.026,,,,,2000 AA6,0.00714094,0.000946907,7.54133,Rej.,2000 aa6,2000,2000 AA6
152671 (1998 HL3),20152671,True,True,1.13,0.366,2.68,0.716,1.54,438.0,0.822,255.0,20.24,0.298,0.2,,,,,152671,-0.00229334,0.000308055,7.44456,1,152671,152671,152671
(2022 QX4),54297628,True,False,0.681,0.505,0.138,0.337,1.02,205.0,1.75,99.7,24.7,,,0.088812,,,,2022 QX4,-0.0287727,0.00386977,7.43526,1,2022 qx4,2022,2022 QX4
350523 (2000 EA14),20350523,True,True,1.12,0.203,3.56,0.891,1.34,432.0,0.834,13.6,21.16,,,,,,,350523,0.00282663,0.000382406,7.39171,1,350523,350523,350523
467351 (2003 KO2),20467351,True,True,0.728,0.511,23.5,0.356,1.1,227.0,1.59,266.0,20.36,,,6.48,,,,467351,0.00205213,0.000277777,7.3877,1,467351,467351,467351
494710 (2005 MO13),20494710,True,True,0.863,0.411,6.32,0.509,1.22,293.0,1.23,23.1,20.75,,,,,,,494710,-0.00308348,0.00042045,7.33376,1,494710,494710,494710
(2018 GY),3802409,True,False,0.767,0.406,8.75,0.455,1.08,245.0,1.47,298.0,24.83,,,,,,,2018 GY,-0.017828,0.00243387,7.32496,1,2018 gy,2018,2018 GY
334412 (2002 EZ2),20334412,True,False,1.25,0.046,13.0,1.19,1.31,510.0,0.706,149.0,20.32,,,34.077,,,,334412,-0.00209749,0.000289075,7.25588,1,334412,334412,334412
(2012 UK171),3615463,True,False,0.859,0.223,1.29,0.667,1.05,291.0,1.24,272.0,24.46,,,,,,,2012 UK171,-0.00223149,0.000313591,7.11592,1,2012 uk171,2012,2012 UK171
416151 (2002 RQ25),20416151,True,False,1.11,0.306,4.57,0.771,1.45,428.0,0.841,10.7,20.67,,,12.191,,,,416151,0.00267955,0.000377164,7.10448,1,416151,416151,416151
154590 (2003 MA3),20154590,True,True,1.11,0.402,1.42,0.661,1.55,424.0,0.848,36.3,21.7,0.086,0.53,,,,,154590,-0.00410863,0.000579784,7.08648,1,154590,154590,154590
(2015 KJ19),3719475,True,False,2.08,0.745,2.55,0.531,3.63,1100.0,0.328,198.0,22.51,,,,,,,2015 KJ19,0.0168665,0.00238921,7.05943,1,2015 kj19,2015,2015 KJ19
747011 (2012 PG6),20747011,True,False,0.837,0.616,6.53,0.321,1.35,280.0,1.29,356.0,20.24,,,10.58,,,,2012 PG6,0.00513801,0.000728081,7.05692,1,2012 pg6,2012,2012 PG6
(2018 KC2),3825017,True,False,1.16,0.232,4.48,0.892,1.43,457.0,0.787,109.0,22.89,,,,,,,2018 KC2,0.0127863,0.00182445,7.00829,Rej.,2018 kc2,2018,2018 KC2
(2005 TF49),3293832,True,True,1.04,0.0254,24.5,1.02,1.07,389.0,0.926,34.7,19.05,,,,,,,2005 TF49,-0.0013109,0.000188163,6.96683,Rej.,2005 tf49,2005,2005 TF49
(2012 HL31),3603128,True,False,0.888,0.374,19.8,0.556,1.22,305.0,1.18,226.0,22.43,,,,,,,2012 HL31,-0.00657734,0.000947271,6.94347,1,2012 hl31,2012,2012 HL31
(2010 VK139),3551475,True,False,0.78,0.282,27.0,0.56,1.0,252.0,1.43,103.0,23.71,0.055,0.196,0.0299522,,,,2010 VK139,-0.00769662,0.00110916,6.93912,1,2010 vk139,2010,2010 VK139
66400 (1999 LT7),20066400,True,False,0.855,0.573,9.06,0.366,1.35,289.0,1.25,25.6,19.27,0.411,0.182,,,,,66400,-0.00166537,0.000242318,6.87266,1,66400,66400,66400
(2021 FR1),54132420,True,False,1.08,0.392,6.96,0.658,1.5,411.0,0.876,320.0,22.39,,,,,,,2021 FR1,-0.0581567,0.00846994,6.86624,Rej.,2021 fr1,2021,2021 FR1
422686 (2000 AC6),20422686,True,True,0.854,0.287,4.7,0.609,1.1,288.0,1.25,115.0,21.63,0.176,0.143,2.4437,,,,422686,0.00198186,0.000291381,6.8016,1,422686,422686,422686
357622 (2005 EY95),20357622,True,True,1.08,0.538,3.17,0.5,1.67,412.0,0.874,187.0,20.32,,,3.925,,,,357622,-0.00234372,0.000346512,6.76375,1,357622,357622,357622
(2012 UU136),3614397,True,True,1.16,0.212,35.6,0.914,1.41,456.0,0.789,269.0,21.45,,,,,,,2012 UU136,0.00404558,0.000600761,6.73409,Rej.,2012 uu136,2012,2012 UU136
(2000 CK59),3031776,True,False,1.48,0.311,5.71,1.02,1.94,655.0,0.549,137.0,24.1,,,,,,,2000 CK59,-0.00715646,0.0010696,6.69078,1,2000 ck59,2000,2000 CK59
283457 (2001 MQ3),20283457,True,False,2.24,0.455,5.57,1.22,3.25,1220.0,0.295,91.6,19.1,,,,,,,283457,-0.00197923,0.000296781,6.66898,1,283457,283457,283457
424392 (2007 YJ),20424392,True,False,1.1,0.28,3.31,0.795,1.41,423.0,0.851,39.4,22.12,0.239,0.054,,,,,424392,-0.00712048,0.00107048,6.65166,1,424392,424392,424392
(2011 PU1),3574830,True,False,1.3,0.246,4.36,0.983,1.62,544.0,0.662,236.0,25.6,,,,,,,2011 PU1,-0.0175863,0.00264723,6.64329,1,2011 pu1,2011,2011 PU1
492143 (2013 OE),20492143,True,False,2.03,0.509,9.79,0.998,3.07,1060.0,0.34,7.92,17.65,,,77.51,,,,492143,0.0108178,0.00163759,6.60596,Rej.,492143,492143,492143
(2010 XX72),3554011,True,False,0.903,0.284,4.47,0.647,1.16,314.0,1.15,330.0,22.06,,,,,,,2010 XX72,-0.00778087,0.00118481,6.56716,1,2010 xx72,2010,2010 XX72
2101 Adonis (1936 CA),20002101,True,True,1.87,0.764,1.32,0.442,3.31,937.0,0.384,24.5,18.69,0.6,,,,,,2101,-0.00230349,0.000352815,6.52888,1,2101,2101,2101
4581 Asclepius (1989 FC),20004581,True,True,1.02,0.357,4.92,0.658,1.39,378.0,0.953,233.0,20.74,,,8.008,,,,4581,-0.0017353,0.00026613,6.5205,1,4581,4581,4581
(2015 XC352),3736678,True,False,1.02,0.146,4.48,0.867,1.16,374.0,0.964,173.0,25.82,,,,,,,2015 XC352,-0.032304,0.00497414,6.49438,Rej.,2015 xc352,2015,2015 XC352
(2011 JW10),3565395,True,False,1.31,0.215,21.6,1.03,1.59,548.0,0.657,193.0,23.14,,,,,,,2011 JW10,-0.00790606,0.00121866,6.4875,1,2011 jw10,2011,2011 JW10
69230 Hermes (1937 UB),20069230,True,True,1.66,0.624,6.07,0.622,2.69,778.0,0.463,105.0,17.68,,,13.894,,,,69230,-0.000615884,9.55055e-05,6.44867,1,69230,69230,69230
(1994 GL),3092124,True,False,0.683,0.504,3.68,0.339,1.03,206.0,1.74,163.0,25.5,,,,,,,1994 GL,0.0305503,0.00476214,6.41526,1,1994 gl,1994,1994 GL
33342 (1998 WT24),20033342,True,True,0.719,0.418,7.37,0.419,1.02,223.0,1.62,315.0,18.02,0.432,0.654,3.697,,,,33342,-0.00149289,0.000232787,6.41312,1,33342,33342,33342
(2020 FW6),54016425,True,False,1.31,0.299,25.5,0.92,1.7,548.0,0.656,211.0,23.22,,,,,,,2020 FW6,-0.00528521,0.000825018,6.40618,1,2020 fw6,2020,2020 FW6
506590 (2005 XB1),20506590,True,False,1.13,0.419,8.71,0.658,1.61,440.0,0.819,292.0,21.97,0.099,0.287,,,,,506590,0.00540607,0.000851566,6.34839,1,506590,506590,506590
481965 (2009 EB1),20481965,True,False,1.11,0.454,12.5,0.604,1.61,425.0,0.847,324.0,20.69,,,,,,,481965,-0.00277187,0.000436923,6.34407,1,481965,481965,481965
388188 (2006 DP14),20388188,True,True,1.36,0.776,11.8,0.305,2.42,582.0,0.618,164.0,19.0,,,5.7868,,,,388188,-0.00299619,0.000475571,6.3002,1,388188,388188,388188
163000 (2001 SW169),20163000,True,False,1.25,0.0514,3.55,1.18,1.31,509.0,0.707,168.0,19.25,,,69.97,,,,163000,-0.00132922,0.000211006,6.29943,1,163000,163000,163000
467460 (2006 JF42),20467460,True,True,0.672,0.582,5.94,0.281,1.06,201.0,1.79,304.0,19.05,,,13.98,,,,467460,0.00268474,0.000429884,6.24528,1,467460,467460,467460
162361 (2000 AF6),20162361,True,True,0.876,0.411,2.71,0.516,1.24,299.0,1.2,310.0,20.24,,,3.4558,,,,162361,0.00162261,0.000261003,6.21684,1,162361,162361,162361
(2007 RY19),3384484,True,False,1.11,0.253,12.6,0.827,1.39,426.0,0.846,147.0,22.75,,,,,,,2007 RY19,-0.00537468,0.000884232,6.07836,1,2007 ry19,2007,2007 RY19
4034 Vishnu (1986 PA),20004034,True,True,1.06,0.444,11.2,0.589,1.53,398.0,0.904,262.0,18.49,0.42,0.52,44.4,,,,4034,-0.00184073,0.00030607,6.01408,1,4034,4034,4034
163023 (2001 XU1),20163023,True,False,0.797,0.546,27.1,0.362,1.23,260.0,1.38,350.0,19.52,,,,,,,163023,0.00308809,0.000517791,5.96396,1,163023,163023,163023
612358 (2002 JE9),20612358,True,True,1.07,0.417,8.77,0.622,1.51,402.0,0.896,200.0,21.4,,,,,,,612358,-0.00392106,0.000658367,5.95574,1,612358,612358,612358
467336 (2002 LT38),20467336,True,True,0.845,0.314,6.18,0.58,1.11,284.0,1.27,268.0,20.61,,,14.95,,,,467336,0.00149077,0.000251222,5.93406,1,467336,467336,467336
(2006 KS1),3333612,True,False,1.47,0.315,3.65,1.01,1.93,651.0,0.553,6.85,25.41,,,,,,,2006 KS1,0.239572,0.0404431,5.92369,Rej.,2006 ks1,2006,2006 KS1
745311 (2010 XC15),20745311,True,True,0.732,0.42,8.24,0.425,1.04,229.0,1.57,95.6,21.48,,,2.673,,,,2010 XC15,-0.00978819,0.00165439,5.91649,1,2010 xc15,2010,2010 XC15
(2015 TC25),3729281,True,False,1.03,0.116,3.74,0.909,1.15,381.0,0.945,181.0,29.34,,,0.03715,,,,2015 TC25,4.64561,0.78839,5.89253,Rej.,2015 tc25,2015,2015 TC25
242191 (2003 NZ6),20242191,True,False,0.793,0.492,18.2,0.403,1.18,258.0,1.39,132.0,19.02,0.37,0.334,13.531,,,,242191,0.00163719,0.000277942,5.89041,1,242191,242191,242191
8014 (1990 MF),20008014,True,True,1.75,0.456,1.87,0.951,2.54,844.0,0.427,102.0,18.88,0.7,,50.09,,,,8014,-0.000974993,0.000166662,5.85012,1,8014,8014,8014
310442 (2000 CH59),20310442,True,True,0.862,0.423,3.26,0.497,1.23,292.0,1.23,218.0,19.82,,,6.0542,,,,310442,0.00213081,0.000366371,5.81599,1,310442,310442,310442
613471 (2006 RJ1),20613471,True,False,0.95,0.3,1.41,0.665,1.24,338.0,1.06,20.0,22.27,,,,,,,613471,-0.00919667,0.0015818,5.81405,1,613471,613471,613471
452334 (2001 LB),20452334,True,False,1.24,0.189,20.8,1.0,1.47,502.0,0.717,325.0,21.08,,,,,,,452334,-0.00104343,0.000179551,5.81136,1,452334,452334,452334
337248 (2000 RH60),20337248,True,False,0.826,0.551,19.6,0.371,1.28,274.0,1.31,21.5,20.08,0.846,0.025,25.2,,,,337248,-0.0024044,0.000413923,5.80881,Rej.,337248,337248,337248
(1998 KY26),3012392,True,False,1.23,0.2,1.49,0.983,1.47,498.0,0.724,0.983,25.91,0.011,0.52,0.089193,,,,1998 KY26,-0.00917058,0.00158146,5.79882,1,1998 ky26,1998,1998 KY26
(2014 WF201),3698475,True,False,1.11,0.111,8.5,0.988,1.23,428.0,0.841,171.0,25.59,,,0.4743,,,,2014 WF201,-0.0906285,0.015841,5.72115,Rej.,2014 wf201,2014,2014 WF201
(2019 QU2),3843622,True,False,0.824,0.705,11.3,0.243,1.4,273.0,1.32,11.4,22.21,,,,,,,2019 QU2,-0.00633625,0.00111041,5.70621,1,2019 qu2,2019,2019 QU2
(2008 LG2),3413165,True,False,0.851,0.23,3.06,0.656,1.05,287.0,1.26,252.0,25.34,,,,,,,2008 LG2,-0.0264109,0.00463117,5.70286,1,2008 lg2,2008,2008 LG2
(1999 SH10),3022971,True,False,1.1,0.131,9.59,0.955,1.24,421.0,0.856,313.0,22.75,,,0.1264,,,,1999 SH10,-0.00245949,0.000431833,5.69547,1,1999 sh10,1999,1999 SH10
350751 (2002 AW),20350751,True,True,1.07,0.257,0.574,0.796,1.35,405.0,0.889,37.7,20.82,,,4.647,,,,350751,-0.00240204,0.000423782,5.66811,1,350751,350751,350751
306383 (1993 VD),20306383,True,True,0.876,0.552,2.07,0.393,1.36,299.0,1.2,127.0,21.49,,,0.94345,,,,306383,-0.00163629,0.000289523,5.65166,1,306383,306383,306383
138852 (2000 WN10),20138852,True,False,1.0,0.298,21.5,0.703,1.3,366.0,0.983,91.1,20.3,,,4.4622,,,,138852,0.0015861,0.000281193,5.64061,1,138852,138852,138852
443880 (2001 UZ16),20443880,True,True,1.76,0.427,12.7,1.01,2.51,853.0,0.422,129.0,19.38,0.228,0.593,13.719,,,,443880,-0.00204591,0.000364149,5.61833,1,443880,443880,443880
(1997 XE10),3007642,True,False,1.87,0.478,6.29,0.977,2.77,935.0,0.385,328.0,24.53,,,,,,,1997 XE10,0.0286585,0.00511052,5.60775,Rej.,1997 xe10,1997,1997 XE10
416002 (2002 BN),20416002,True,False,0.875,0.546,27.8,0.397,1.35,299.0,1.2,305.0,20.49,,,,,,,416002,-0.00414861,0.000741215,5.59705,1,416002,416002,416002
465617 (2009 EK1),20465617,True,True,1.24,0.229,9.12,0.957,1.53,505.0,0.713,155.0,21.36,,,,,,,465617,-0.0045441,0.000813554,5.58549,Rej.,465617,465617,465617
614470 Flordeneu (2009 ST19),20614470,True,True,2.36,0.595,6.73,0.954,3.76,1320.0,0.272,168.0,18.38,,,,,,,614470,0.0140767,0.00252375,5.57772,Rej.,614470,614470,614470
153201 (2000 WO107),20153201,True,True,0.911,0.781,7.77,0.2,1.62,318.0,1.13,313.0,19.3,0.51,0.129,5.022,,,,153201,-0.00235278,0.000422844,5.56417,Rej.,153201,153201,153201
412983 (1996 FO3),20412983,True,True,1.44,0.29,5.81,1.02,1.86,632.0,0.569,72.4,20.16,,,,,,,412983,-0.00319114,0.000575201,5.54787,1,412983,412983,412983
478784 (2012 UV136),20478784,True,False,1.01,0.14,2.1,0.868,1.15,370.0,0.973,245.0,25.6,,,,,,,478784,-0.00391848,0.000707056,5.54197,1,478784,478784,478784
741081 (2005 LW3),20741081,True,True,1.44,0.464,6.02,0.772,2.11,630.0,0.571,293.0,21.67,,,3.6,,,,2005 LW3,-0.00340604,0.000616367,5.52599,1,2005 lw3,2005,2005 LW3
153814 (2001 WN5),20153814,True,True,1.71,0.467,1.92,0.912,2.51,818.0,0.44,287.0,18.28,0.932,0.097,4.253,,,,153814,0.00448789,0.000815342,5.5043,Rej.,153814,153814,153814
4688 (1980 WF),20004688,True,False,2.23,0.518,6.37,1.08,3.39,1220.0,0.295,163.0,19.6,0.6,0.18,,,,,4688,-0.00136175,0.000249036,5.46809,1,4688,4688,4688
192559 (1998 VO),20192559,True,True,1.07,0.227,10.1,0.831,1.32,407.0,0.884,176.0,20.43,,,,,,,192559,-0.00157392,0.000288965,5.44673,1,192559,192559,192559
410777 (2009 FD),20410777,True,False,1.16,0.493,3.12,0.59,1.74,459.0,0.785,50.4,22.18,0.472,0.01,4.0,,,,410777,0.00383728,0.000707924,5.42046,1,410777,410777,410777
199145 (2005 YY128),20199145,True,True,1.65,0.732,3.77,0.441,2.86,773.0,0.466,87.7,18.3,,,15.59,,,,199145,0.00698316,0.00129333,5.39937,Rej.,199145,199145,199145
251732 (1998 HG49),20251732,True,False,1.2,0.113,4.19,1.07,1.34,480.0,0.749,188.0,21.76,,,,,,,251732,-0.00372337,0.000692312,5.37816,1,251732,251732,251732
(2003 GQ22),3152317,True,True,0.872,0.181,17.0,0.714,1.03,298.0,1.21,105.0,21.34,,,,,,,2003 GQ22,0.00459633,0.000861131,5.33756,1,2003 gq22,2003,2003 GQ22
29075 (1950 DA),20029075,True,True,1.7,0.508,12.2,0.837,2.56,809.0,0.445,41.3,17.28,1.3,0.07,2.1216,,,,29075,-0.000272929,5.11567e-05,5.33516,1,29075,29075,29075
(2012 HN13),3602837,True,False,1.41,0.308,4.07,0.974,1.84,611.0,0.59,7.88,22.96,,,,,,,2012 HN13,-0.00414045,0.000782549,5.29098,1,2012 hn13,2012,2012 HN13
(2010 FX9),3512704,True,False,1.13,0.367,3.77,0.716,1.55,440.0,0.819,64.8,24.06,0.03,0.425,,,,,2010 FX9,-0.010992,0.0020822,5.27901,1,2010 fx9,2010,2010 FX9
(2005 TG50),3293922,True,False,0.923,0.135,2.39,0.798,1.05,324.0,1.11,75.2,24.83,,,,,,,2005 TG50,-0.0103111,0.00195386,5.27728,Rej.,2005 tg50,2005,2005 TG50
526798 (2007 AA9),20526798,True,False,0.858,0.42,6.8,0.497,1.22,290.0,1.24,5.44,22.58,,,,,,,526798,-0.00596005,0.00113486,5.25181,1,526798,526798,526798
(2005 EY169),3274304,True,False,1.31,0.233,20.9,1.0,1.61,546.0,0.66,274.0,22.29,,,,,,,2005 EY169,-0.00500398,0.000962455,5.19918,1,2005 ey169,2005,2005 EY169
612050 (1997 GL3),20612050,True,True,2.27,0.784,6.68,0.49,4.05,1250.0,0.288,139.0,19.14,,,7.572,,,,612050,-0.00229874,0.000443743,5.18034,1,612050,612050,612050
(2008 BP16),3401191,True,False,0.829,0.65,29.2,0.29,1.37,276.0,1.31,120.0,21.81,,,,,,,2008 BP16,-0.00645744,0.00125089,5.16229,1,2008 bp16,2008,2008 BP16
2063 Bacchus (1977 HB),20002063,True,False,1.08,0.349,9.43,0.701,1.45,409.0,0.881,235.0,17.21,1.024,0.203,14.904,,,,2063,-0.000559025,0.000108331,5.16036,1,2063,2063,2063
(2017 BM123),3768609,True,False,1.31,0.297,7.83,0.922,1.7,549.0,0.656,265.0,23.81,,,2.1503,,,,2017 BM123,-0.00336603,0.000654189,5.14535,1,2017 bm123,2017,2017 BM123
(2002 EW8),3117430,True,False,1.85,0.46,11.4,0.998,2.7,917.0,0.393,168.0,23.84,,,,,,,2002 EW8,0.00682734,0.0013306,5.13103,1,2002 ew8,2002,2002 EW8
(2015 LA2),3720924,True,False,0.883,0.281,7.71,0.635,1.13,303.0,1.19,14.5,23.01,,,,,,,2015 LA2,-0.00529849,0.00103927,5.09828,1,2015 la2,2015,2015 LA2
204131 (2003 YL),20204131,True,False,1.15,0.632,5.65,0.421,1.87,448.0,0.803,8.47,19.94,,,10.27,,,,204131,-0.00307441,0.000604044,5.08971,1,204131,204131,204131
(2002 GD10),3120896,True,False,1.22,0.131,19.2,1.06,1.38,490.0,0.734,222.0,22.71,,,0.7356,,,,2002 GD10,-0.010164,0.00199855,5.08566,1,2002 gd10,2002,2002 GD10
(2008 WT62),3440396,True,False,0.884,0.354,18.2,0.571,1.2,304.0,1.19,33.9,23.11,,,,,,,2008 WT62,-0.0160259,0.00316016,5.07122,1,2008 wt62,2008,2008 WT62
(2014 US7),3693721,True,False,0.859,0.273,9.86,0.624,1.09,291.0,1.24,83.6,26.6,,,,,,,2014 US7,-0.269982,0.0532839,5.06687,Rej.,2014 us7,2014,2014 US7
(2013 BA74),3625704,True,False,1.75,0.445,5.22,0.975,2.53,849.0,0.424,171.0,25.4,,,,,,,2013 BA74,0.0307249,0.00607127,5.0607,Rej.,2013 ba74,2013,2013 BA74
19356 (1997 GH3),20019356,True,False,2.51,0.558,3.01,1.11,3.91,1450.0,0.248,93.2,17.0,0.91,0.34,6.714,,,,19356,-0.00758236,0.00149877,5.05905,Rej.,19356,19356,19356
433 Eros (A898 PA),20000433,True,False,1.46,0.223,10.8,1.13,1.78,643.0,0.56,311.0,10.38,16.84,0.25,5.27,0.0004463,,,433,-7.25751e-05,1.43526e-05,5.05658,Rej.,433,433,433
152828 (1999 VT25),20152828,True,True,1.16,0.523,5.15,0.554,1.77,458.0,0.787,208.0,21.26,,,,,,,152828,0.00378427,0.000751863,5.0332,1,152828,152828,152828
457662 (2009 DZ),20457662,True,True,1.45,0.302,14.1,1.01,1.89,640.0,0.562,214.0,22.0,,,,,,,457662,-0.00316727,0.000637552,4.96787,1,457662,457662,457662
375505 (2008 UN90),20375505,True,False,1.4,0.126,17.5,1.23,1.58,608.0,0.592,121.0,20.2,,,,,,,375505,0.00436965,0.000879922,4.96595,Rej.,375505,375505,375505
154007 (2002 BY),20154007,True,False,1.82,0.347,2.73,1.19,2.45,895.0,0.402,190.0,18.12,,,14.91,,,,154007,0.00482685,0.00097274,4.96211,Rej.,154007,154007,154007
