full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,GM,spec_B,spec_T,full_name_gaia,da_dt,e_da_dt,SNR,FAccept,normalized_name,number_only,clean_name
(2011 XC),3590075,True,False,1.26,0.134,21.6,1.09,1.42,514.0,0.7,274.0,20.98,,,,,,,2021 SP4,-0.00806162,0.00264963,3.04255,Rej.,2021 sp4,2021,2021 SP4
(2021 SP4),54202335,True,True,1.47,0.405,9.92,0.873,2.06,649.0,0.554,53.6,20.96,,,,,,,2006 GX2,-0.00400236,0.00132018,3.03167,1,2006 gx2,2006,2006 GX2
625646 (2006 GX2),20625646,True,False,1.76,0.545,8.23,0.799,2.72,851.0,0.423,175.0,20.71,,,,,,,2015 XW261,-0.00364848,0.00120527,3.02712,Rej.,2015 xw261,2015,2015 XW261
(2015 XW261),3736516,True,False,1.25,0.467,29.7,0.666,1.83,510.0,0.706,342.0,21.39,,,19.67,,,,2017 US4,-0.0108291,0.00358188,3.0233,1,2017 us4,2017,2017 US4
(2017 US4),3788008,True,False,1.4,0.217,9.7,1.1,1.71,608.0,0.592,191.0,21.51,,,,,,,2006 WF129,-0.0539077,0.0178453,3.02083,Rej.,2006 wf129,2006,2006 WF129
(2006 WF129),3361625,True,False,2.64,0.532,22.1,1.24,4.05,1570.0,0.229,162.0,19.13,,,,,,,2003 TG2,-0.00426075,0.00141099,3.01968,1,2003 tg2,2003,2003 TG2
(2003 TG2),3160853,True,False,0.908,0.316,25.5,0.621,1.19,316.0,1.14,10.0,21.36,,,,,,,2005 NE21,0.00371153,0.00122972,3.0182,1,2005 ne21,2005,2005 NE21
(2005 NE21),3283679,True,False,0.789,0.496,10.6,0.397,1.18,256.0,1.41,171.0,21.24,,,,,,,152664,0.000907134,0.000300729,3.01645,1,152664,152664,152664
152664 (1998 FW4),20152664,True,True,2.52,0.714,3.41,0.721,4.32,1460.0,0.246,2.25,19.7,,,17.38,,,,7336,0.00114271,0.000379253,3.01305,1,7336,7336,7336
7336 Saunders (1989 RS1),20007336,True,False,2.31,0.482,7.2,1.19,3.42,1280.0,0.282,118.0,18.8,,,4.307,,,,162416,0.630594,0.209598,3.00859,Rej.,162416,162416,162416
162416 (2000 EH26),20162416,True,True,1.85,0.478,0.402,0.968,2.74,922.0,0.39,40.0,21.67,,,24.0,,,,1999 SF10,0.0325665,0.0108526,3.00081,Rej.,1999 sf10,1999,1999 SF10
(1999 SF10),3023213,True,False,1.28,0.254,1.21,0.955,1.6,529.0,0.681,1.25,24.46,,,0.0411,,,,,,,,,,,
